entity_id,legal_name,sf_account_id,sf_account_owner,sf_billing_country,sf_sector,chainalysis_client_status,abs_stage
66806410cc1b,D2X Group N.V.,,Chris Velez,United States,Private,Not in Salesforce,
8111db67f29c,Trading.com Markets EU Ltd,,Richard Gannon,Netherlands,Private,Not in Salesforce,
5b507397f0d3,J2TX Ltd,,Chris Velez,United States,Private,Not in Salesforce,
0fadc26a3180,BV & P Vermögen AG,,Jed Sibley,United Kingdom,Private,Prospect,
a5d5daed70d2,Celsion Bank AG,001VM00000nkETZYA2,Paula Burgess,Liechtenstein,Private,In Salesforce (no type),
e50ff65a193a,MLP Banking AG,,Richard Gannon,Netherlands,Private,Not in Salesforce,
ea9a4248a46e,"Joh. Berenberg, Gossler & Co. KG",,Jed Sibley,Germany,Private,Prospect,
19e1fef9dd11,BLOCKNODES SAS,001f200002300WKAAY,Lucas Martino,Switzerland,Private,Active Customer,Active
38efdb1ed617,AnCeKa Vermögensbetreuungs Aktiengesellschaft,,Mike Meisels,Australia,Private,Not in Salesforce,
66dbeef629a0,Calamatta Cuschieri Investment Services Limited,,Integration User,United States,Public,Not in Salesforce,
b097716a0e73,Noemon Finance Ltd,,Vishnu Veluri,Viet Nam,Private,Not in Salesforce,
781e4c6428f0,Scalable Capital Bank GmbH,,Jed Sibley,Germany,Private,Partner,
4b3e650423d2,Pluso a.s.,,Steven Casella,United States,Private,Not in Salesforce,
986a457d27c8,COINMATE a.s.,0016Q00001j3xjUQAQ,Richard Gannon,United States,Private,In Salesforce (no type),
05d13b24dc3c,MipSoftware s.r.o.,,Jed Sibley,Isle of Man,Private,Not in Salesforce,
c09e9181c850,UAB Micar assets,,Anson Yong,China,Private,Not in Salesforce,
8e1489317808,Plutos Vermögensverwaltung AG,,Paula Burgess,United Kingdom,Private,Not in Salesforce,
6306c470a9d7,Banking Circle S.A.,,Richard Gannon,United Kingdom,Private,Prospect,Churned
e7e6b260d021,System Pay Services (Malta) Limited,0015w00002Nv6DYAAZ,Jed Sibley,United Kingdom,Private,Active Customer,Active
e4e1ff2b5ec2,Wyden Capital AG,001VM00000nkBnHYAU,Paula Burgess,United States,Private,In Salesforce (no type),
8369ce66fd01,ILAVO GROUP a.s.,001VM00000DuqywYAB,Success Outreach Team,United States,Private,In Salesforce (no type),
4d4f00055192,WEB3 Technology B.V.,001VM00000oE6dWYAS,Paula Burgess,Poland,Private,In Salesforce (no type),
bcdb205dd19f,MP Developers s.r.o.,,Chris Velez,United States,Private,Not in Salesforce,
07ae0ec39657,Invity Finance s.r.o.,0016Q00001YzbvLQAR,Paula Burgess,United States,Private,In Salesforce (no type),
045378615988,HEXARQ SAS,001VM00000IL5TmYAL,Fabien Ribert,France,Private,Active Customer,Active
60bc74c6e70b,AK JENSEN NORWAY AS,0016Q00001u6ESgQAM,Paula Burgess,Norway,Private,In Salesforce (no type),
c0198f39dc87,Damex Digital LTD,0015w00002PtlApAAJ,Success Outreach Team,Gibraltar,Private,Active Customer,Active
431e4c93f3e9,ISF Institut Deutsch-Schweizer Finanzdienstleistungen GmbH,,Chris Velez,United States,Private,Not in Salesforce,
748d585c3e22,FIPTO PI SAS,0016Q00001Za8c1QAB,Success Outreach Team,France,Private,Active Customer,Active
9106ef821373,Interactive Brokers Ireland Limited,0015w000025ztsGAAQ,Mark Walz,United States,Private,In Salesforce (no type),
7bd8db60b8f9,Okazio s.r.o.,,Chris Velez,United States,Private,Not in Salesforce,
f960c5e2d78b,CONCEDUS GmbH,0016Q00001X8DL1QAN,Success Outreach Team,United States,Private,Customer (status unset),
63b7b5561db5,Penning Financial Services ApS,0016Q00001j5UkLQAU,Paula Burgess,Denmark,Private,Customer (status unset),
6e5ed5c3793c,Firefish Europe s.r.o,001VM00000DfVQ9YAN,Richard Gannon,United States,Private,In Salesforce (no type),
da86ec4ac36d,DZ BANK AG Deutsche Zentral-Genossenschaftsbank,,Jed Sibley,Germany,Private,Prospect,
203655c8b1f5,Bank Frick AG,001f200001fLHpJAAW,Jed Sibley,Liechtenstein,Private,In Salesforce (no type),
73d76f085015,PELICAN EXCHANGE EUROPE (CY) LTD,,Chris Velez,United States,Private,Not in Salesforce,
24eaa6d58494,Alaric Securities OOD,,Chris Velez,United States,Private,Not in Salesforce,
96d4aa4eb638,Tradevest Digital Assets GmbH,001VM000009Qo43YAC,Jed Sibley,Germany,Private,Active Customer,Active
7cb72b6d0e04,wSw PortfolioManagement AG,,Chris Velez,United States,Private,Not in Salesforce,
3332d2b7955d,Tradevest Markets AG,,Samantha Stutman,United States,Private,Prospect,
fc8b5307ebd1,FINTECH SK s. r. o.,001VM00000A8s8jYAB,Success Outreach Team,Slovakia,Private,Active Customer,Active
cb0f519a5e9a,FIDUS Finanz AG,0016Q00001X5eQEQAZ,Drey Dias,Brazil,Private,In Salesforce (no type),
45d4dc0b6db4,Coinfinity GmbH,0016Q00001u756NQAQ,Jed Sibley,Austria,Private,Active Customer,Active
49db4f0e03d9,StoneX Digital International Limited,001f200001i7EqMAAU,Fabien Ribert,Cyprus,Private,Active Customer,Open
4bab9e4b7ba5,LGT Bank AG,0016Q00001bHwKBQA0,Marvin Miao,China,Private,Active Customer,Active
e28df45ed940,Sutor Bank GmbH,0016Q00001ZaLAJQA3,Jed Sibley,Germany,Private,In Salesforce (no type),
3ef1c15ca8ef,DLT Securities GmbH,,Sham Rajendra,Canada,Private,Not in Salesforce,
24bbf1b8b9d7,Pionew Ireland Limited,001VM00000GvFnVYAV,Vishnu Veluri,Ireland,Private,Active Customer,Active
23b6af77c7f7,Madison Six j. s. a.,001VM00000hWjdxYAC,Richard Gannon,Slovakia,Private,In Salesforce (no type),
e97928bebff5,"FUMBI, s.r.o.",0015w00002TDFgRAAX,Success Outreach Team,United States,Private,In Salesforce (no type),
8462050b8a58,"Fintegence, s.r.o.",001f200001pmAOMAA2,Paula Burgess,Slovakia,Private,Active Customer,Open
a2decb9a7110,Volksbank Raiffeisenbank Würzburg eG,,Samantha Stutman,United States,Private,Prospect,
5cb937077ab7,DADAT Krypto GmbH,,Chris Velez,United States,Private,Not in Salesforce,
0a9bd96f0633,Nuvei Liquidity UAB,001f200001pm47nAAA,Odelya Ben Shimon,United States,Private,Active Customer,Open
c98026e6fd20,VR-Bank Rottal-Inn eG,,Samantha Stutman,United States,Private,Prospect,
761006ee4dda,Confirmo Limited,0016Q00001j71hkQAA,Richard Gannon,Slovakia,Private,In Salesforce (no type),
e27afaa2c8d6,UAB Decentralized,001f200001fLHq7AAG,Richard Gannon,Lithuania,Private,Active Customer,Open
67f39fa3a816,XTB Limited,001VM00000ZTIqFYAX,Fabien Ribert,Cyprus,Private,In Salesforce (no type),
dd5abcf58f76,Hannoversche Volksbank eG,,Samantha Stutman,United States,Private,Prospect,
2bc2c3071cbd,VR TeilhaberBank Metropolregion Nürnberg eG,,Mike Meisels,Australia,Private,Not in Salesforce,
0eb289564ca9,VR Bank Südpfalz eG,,Chris Velez,United States,Private,Not in Salesforce,
dc1831a52313,GC Exchange A/S,,Success Outreach Team,Denmark,Private,Partner,
6b21e8c49d22,Zodia Custody (Europe) S.A.,0015w00002RG8Q3AAL,Henry Fletcher,United States,Private,Customer (status unset),
178c02a11aa4,Westerwald Bank eG Volks- und Raiffeisenbank,,Samantha Stutman,United States,Private,Prospect,
705130382ba3,Fels wealth GmbH,,Chris Velez,United States,Private,Not in Salesforce,
04e7a39c3a58,Nexdesk SIA,001VM0000018oVJYAY,Richard Gannon,Lithuania,Private,Active Customer,Open
ab31884fede7,CoinJar Europe Limited,001f200001l6G6tAAE,Mike Meisels,Italy,Private,Customer (status unset),
ad9178f133e0,Monflo B.V.,,Paula Burgess,United Kingdom,Private,Not in Salesforce,
39a078e1d779,Deutsche WertpapierService Bank AG,,Integration User,United States,Public,Not in Salesforce,
2770198382f0,COMETH SAS,001VM000004guZlYAI,Success Outreach Team,France,Private,Active Customer,Active
0c6cd83452b3,Paysafe Payment Solutions Limited.,001f200001jpPGFAA2,Henry Fletcher,Netherlands,Private,In Salesforce (no type),
27a4d4f8b6e1,BlockBen SIA,001f2000023lbjaAAA,Paula Burgess,Hungary,Private,Active Customer,Open
9530e3237fbd,Ramp Swaps (Ireland) Limited,0015w00002PtltvAAB,Henry Fletcher,Poland,Private,Customer (status unset),
d7dcec5344d0,Kvarn Capital Oy,0016Q00001YzHDfQAN,Success Outreach Team,Finland,Private,Active Customer,Active
98ff705df196,ZEUS Anstalt für Vermögensverwaltung,0016Q00001cxnb1QAA,Chris Velez,United States,Private,Customer (status unset),
805ea1cb65c0,CAPITAL VAULT LTD,001f200001fLHjIAAW,Henry Fletcher,Cyprus,Private,Active Customer,Active
9c4732a2dc10,Hauck Aufhäuser Digital Custody GmbH,0016Q00001Z0CBHQA3,Success Outreach Team,United States,Private,Customer (status unset),
69b47067892a,KuCoin EU Exchange GmbH,001VM00000TWg8JYAT,Jed Sibley,China,Private,Customer (status unset),
a3f65fb6a8c6,FIOR Digital GmbH,0016Q00001j4nL5QAI,Success Outreach Team,Austria,Private,Customer (status unset),
7458642e61d6,Blockrise Capital B.V.,0015w00002MFyTlAAL,Integration User,,Private,In Salesforce (no type),
1bc19d5f5d64,NorthCrypto Oy,,Success Outreach Team,Finland,Private,Prospect,Churned
fc2a1ef2838c,Payhound Limited,0015w00002RJ3Z6AAL,Fabien Ribert,Malta,Private,Active Customer,Active
4e6707c443a2,Hyphe Markets GmbH,0015w000029STOBAA4,Success Outreach Team,Germany,Private,Customer (status unset),
9614123553d1,sino Aktiengesellschaft,,Paula Burgess,France,Private,Not in Salesforce,
cdb767758b39,RENTA 4 BANCO S.A.,0015w00002RHicyAAD,Success Outreach Team,Spain,Private,Customer (status unset),
7b35c146707f,Bitonic B.V.,0016Q00001pqgVTQAY,Paula Burgess,Netherlands,Private,In Salesforce (no type),
a27d2b87ff36,EUWAX AG,,Chris Velez,United States,Private,Not in Salesforce,
08886514c6fa,IG Europe GmbH,0016Q00001bIqvWQAS,Jed Sibley,Austria,Private,In Salesforce (no type),
4a08f9174c86,Bitmymoney B.V.,001f2000021EbDhAAK,Paula Burgess,Netherlands,Private,In Salesforce (no type),
037a3a12d2a6,Lightyear Europe AS,0016Q00001u5ohCQAQ,Paula Burgess,United Kingdom,Private,In Salesforce (no type),
91351df4d2f4,"Newrails, UAB",,Jinwoo Jeon,,Private,Not in Salesforce,
3a69db30f6cc,Push Virtual Assets Ireland Limited,,Steven Casella,United States,Private,Not in Salesforce,
c221b0b2d2e9,Orcabay finančne storitve d.o.o.,,Paula Burgess,United Kingdom,Private,Not in Salesforce,
170f09586985,Huddlestock GmbH,,,,,Not in Salesforce,
7712c65f9ce4,INCREMENTUM družba za izvajanje storitev v zvezi s kriptosredstvi d.o.o.,,,,,,
b2e2d269178e,Volksbank Mittlerer Schwarzwald eG,,Samantha Stutman,United States,Private,Prospect,
b979c91c98ee,Coinmerce B.V.,001f200001xEbNFAA0,Richard Gannon,Netherlands,Private,Active Customer,Active
e66759c03a48,Volksbank Raiffeisenbank Bayern Mitte eG,0016Q00001ZaLIwQAN,Jed Sibley,Germany,Private,Active Customer,Open
4e1cffa0963f,Bitcoinforme S.L.,0015w00002B7pPQAAZ,Christian Menda,Spain,Private,Active Customer,Active
24138be77d55,AMINA (Austria) AG,001f200001l6FlbAAE,Jed Sibley,Switzerland,Private,Customer (status unset),
c16de3066f15,zerohash europe B.V.,0015w000025ztwuAAA,Bryce Hedrick,United States,Private,In Salesforce (no type),
f133212677dd,DonauCapital Wertpapier GmbH,,Fabio Cardona,Panama,Private,Not in Salesforce,
43f1d6d32f4d,BANQUE DELUBAC ET CIE,0015w00002WhOFkAAN,Fabien Ribert,France,Private,In Salesforce (no type),
c031ef47f2d7,SOCIETE GENERALE - FORGE,0015w000025ztviAAA,Fabien Ribert,France,Private,Customer (status unset),
dbd932918acb,RELAI EU SASU,0016Q00001ZdB6uQAF,Jed Sibley,Switzerland,Private,In Salesforce (no type),
e2326102c8f6,Lang & Schwarz TradeCenter AG & Co. KG,,Integration User,,Private,Not in Salesforce,
891fa1b54dd7,Blue Cube (Malta) Limited,,Erik Hug,Cayman Islands,Private,Prospect,Active
82651dbef9b2,Revolut Digital Assets (Europe) Ltd,001f200001fLHqSAAW,Henry Fletcher,United Kingdom,Private,Customer (status unset),
fc4a1e1c19ba,Cryptonow GmbH,001f200001w8ce3AAA,Paula Burgess,Switzerland,Private,In Salesforce (no type),
